State,Race/Ethnicity/Ancestry,Religion,Sexual Orientation,Disability,Gender,Gender Identity
Alabama,8,1,0,0,0,0
Alaska,3,1,0,0,0,0
Arizona,168,48,55,5,0,12
Arkansas,5,0,1,1,0,0
California,603,207,248,4,4,29
Colorado,61,26,18,1,1,1
Connecticut,66,23,22,0,0,1
Delaware,14,8,6,0,0,1
District of Columbia,108,14,57,1,0,13
Florida,70,43,32,0,0,0
Georgia,19,5,4,0,0,0
Hawaii,0,0,0,0,0,0
Idaho,30,17,4,2,0,0
Illinois,39,27,14,1,0,1
Indiana,32,13,9,1,0,0
Iowa,9,1,1,0,0,0
Kansas,39,16,11,9,0,0
Kentucky,283,38,27,12,16,3
Louisiana,14,11,1,0,0,0
Maine,17,9,4,0,0,2
Maryland,24,12,6,0,0,6
Massachusetts,232,118,65,9,8,9
Michigan,311,78,57,2,8,0
Minnesota,92,34,22,0,0,0
Mississippi,1,0,0,0,0,0
Missouri,79,11,13,0,1,1
Montana,9,4,2,0,0,0
Nebraska,34,6,4,1,0,0
Nevada,2,0,3,0,0,0
New Hampshire,8,4,1,0,0,0
New Jersey,260,180,51,4,0,0
New Mexico,4,2,1,0,0,0
New York,189,284,64,1,0,14
North Carolina,114,24,24,4,0,0
North Dakota,8,5,2,0,0,0
Ohio,259,35,53,31,0,2
Oklahoma,17,7,10,0,1,2
Oregon,84,29,24,4,1,4
Pennsylvania,52,17,6,0,0,3
Rhode Island,5,4,2,0,0,0
South Carolina,63,11,12,1,0,0
South Dakota,8,4,3,2,0,0
Tennessee,88,18,21,7,2,0
Texas,117,22,43,3,1,6
Utah,51,15,8,0,0,4
Vermont,18,6,8,3,0,0
Virginia,109,42,35,7,0,0
Washington,323,88,79,1,6,16
West Virginia,23,6,1,1,0,0
Wisconsin,15,17,13,1,0,0
Wyoming,1,1,2,0,0,0
